valid_species_id,family,operational_genus,species,species_authority,operational_feeding,operational_fixation,operational_mobility,operational_substrate,bathymetry_min,operational_bathymetry_min,size,range_SST_Huang
105629,Anatinellidae,Anatina,anatina,(Spengler 1802),non_suspension,unattached,mobile,infaunal,5,5,67.7932149997328,19.08009618
105630,Anatinellidae,Anatina,cyprinus,(Wood 1828),non_suspension,unattached,mobile,infaunal,15,15,57.3585215987999,16.05756762
105821,Anatinellidae,Anatinella,nicobarica,(Gmelin 1791),non_suspension,unattached,mobile,infaunal,0,0,38.1234835763995,26.933688822
105836,Anatinellidae,Raeta,meridionalis,Tate 1886,non_suspension,unattached,mobile,infaunal,NA,5,39.9124040869502,25.53046153
105745,Anatinellidae,Raeta,plicatella,(Lamarck 1818),non_suspension,unattached,mobile,infaunal,0,0,70.0421301789145,28.493656117
105746,Anatinellidae,Raeta,undulata,(Gould 1851),non_suspension,unattached,mobile,infaunal,0,0,115.715167545141,18.73659887
105748,Anatinellidae,Raetella,pulchella,(Adams & Reeve 1850),non_suspension,unattached,mobile,infaunal,1.5,1.5,18.5121581669993,31.906857202
105640,Anatinellidae,Raetina,pellicula,(Deshayes 1854),non_suspension,unattached,mobile,infaunal,1,1,63.718129288296,34.40643638
106260,Anomiidae,Anomia,achaeus,Gray 1850,suspension,attached,immobile,epifaunal,0,0,73.9932429347437,20.31424225
106259,Anomiidae,Anomia,chinensis,Philippi 1849,suspension,attached,immobile,epifaunal,0,0,57.9655069847578,21.748499844
112032,Anomiidae,Anomia,cytaeum,Gray 1850,suspension,attached,immobile,epifaunal,0,0,60.6341487942232,31.476604892
106256,Anomiidae,Anomia,ephippium,Linnaeus 1758,suspension,attached,immobile,epifaunal,0,0,91.4877040918614,28.381249566
106258,Anomiidae,Anomia,peruviana,d'Orbigny 1846,suspension,attached,immobile,epifaunal,0,0,81.4248119432891,21.29878819
106261,Anomiidae,Anomia,simplex,d'Orbigny 1853,suspension,attached,immobile,epifaunal,0,0,49.9695907527768,31.796957335
104078,Anomiidae,Anomia,sol,Reeve 1859,suspension,attached,immobile,epifaunal,15,15,28.6984320129167,8.73389537
106257,Anomiidae,Anomia,trigonopsis,Hutton 1877,suspension,attached,immobile,epifaunal,1,1,74.5721127500086,20.053999972
106266,Anomiidae,Enigmonia,aenigmatica,"(""Chemnitz"" Holten 1802)",suspension,attached,mobile,epifaunal,0,0,38.9024420827279,16.32833353
106267,Anomiidae,Heteranomia,squamula,(Linnaeus 1758),suspension,attached,immobile,epifaunal,0,0,14.4913767461894,31.143377869
106270,Anomiidae,Isomonia,umbonata,(Gould 1861),suspension,attached,immobile,epifaunal,40,40,44.2492937796752,30.550758502
112663,Anomiidae,Monia,colon,(Gray 1850),suspension,attached,immobile,epifaunal,1,1,33.6994065229642,17.69700012
106273,Anomiidae,Monia,deliciosa,Iredale 1936,suspension,attached,immobile,epifaunal,NA,5,41.7420651142226,9.43723283
106271,Anomiidae,Monia,macrochisma,(Deshayes 1839),suspension,attached,immobile,epifaunal,0,0,121.326007104825,32.937926958
106264,Anomiidae,Monia,nobilis,(Reeve 1859),suspension,attached,immobile,epifaunal,7,7,57.1314274283428,12.98949973
106272,Anomiidae,Monia,patelliformis,(Linnaeus 1758),suspension,attached,immobile,epifaunal,0,0,49,30.337535326
106380,Anomiidae,Monia,squama,(Gmelin 1791),suspension,attached,immobile,epifaunal,2,2,38,30.547952356
106274,Anomiidae,Monia,timida,Iredale 1939,suspension,attached,immobile,epifaunal,0,0,22.494443758404,13.52833334
106269,Anomiidae,Monia,zelandica,(Gray 1843),suspension,attached,immobile,epifaunal,0,0,68.9927532426414,24.723574084
106275,Anomiidae,Patro,australis,(Gray 1847),suspension,attached,immobile,epifaunal,0,0,59.2958683214944,18.64517556
106280,Anomiidae,Pododesmus,foliatus,(Broderip 1834),suspension,attached,immobile,epifaunal,0,0,89.5432856220945,16.11349055
