Family,Scientific Name,North,South,Pool,Shallowest,Deepest,Max.size,NW.gulf,NE.gulf,SW.gulf,SE.gulf,Range limit annual temp,Range limit min chloro,Range limit max chloro,Lat range,Islands occupied,Extralimital probabality
Semelidae,Abra palmeri,26.8,-3.7,Species Pool,0,165,10,31.00,31.30,25.90,20.42,19.55,0.35,16.19,35.00,0,0.042172227
Arcidae,Acar gradata,27.8,8.3,Species Pool,0,37,41,26.12,31.33,22.88,20.42,17.78,0.05,8.97,23.03,6,0.293677185
Tellinidae,Acorylus rickettsi,22.375,7.6,Species Pool,9,60,12,25.80,27.90,22.10,20.42,23.95,0.21,8.64,20.30,0,0.014592081
Cardiidae,Acrosterigma pristipleura,22.375,-1.8,Species Pool,0,80,81,26.10,21.50,22.10,20.42,24.08,0.05,7.16,27.90,2,0.013829473
Nuculanidae,Adrana crenifera,22.375,-3.8,Species Pool,8,20,36,NA,23.30,NA,20.42,24.18,0.33,7.16,27.10,0,0.014556775
Nuculanidae,Adrana metcalfei,22.375,-0.4,Species Pool,7,60,24,30.30,27.90,22.10,20.42,22.61,0.24,7.16,30.70,0,0.014556775
Mytilidae,Adula soleniformis,22.375,-5.1,Species Pool,0,110,40,NA,23.20,NA,20.42,19.67,0.33,7.16,28.30,0,0.014808696
Veneridae,Agriopoma catharium,23.5,-12,Species Pool,13,80,67,29.50,27.93,23.12,20.42,18.02,0.21,14.76,41.50,1,0.106229921
Tellinidae,Ameritella amianta,22.375,-2.2,Species Pool,0,77,15,NA,31.70,NA,20.42,23.00,0.33,7.16,33.90,0,0.014556775
Tellinidae,Ameritella coani,22.375,8,Species Pool,0,30,10,28.90,31.40,22.10,20.42,21.84,0.32,9.31,23.40,2,0.014044807
Tellinidae,Ameritella felix,24.6,-3.7,Species Pool,0,25,17,26.70,27.90,22.10,20.42,21.56,0.44,7.96,31.60,0,0.038053792
Mytilidae,Amygdalum americanum,22.375,-5.1,Species Pool,4,45,32,25.80,27.93,22.10,20.42,19.67,0.21,7.16,33.03,0,0.014794927
Arcidae,Anadara adamsi,22.375,-2.2,Species Pool,8,54,30,28.97,22.68,22.10,20.42,21.84,0.33,8.38,31.17,0,0.014592081
Arcidae,Anadara aequatorialis,22.375,-3.7,Species Pool,0,73,48,30.30,23.23,22.10,20.42,23.04,0.33,7.16,34.00,0,0.014556775
Arcidae,Anadara biangulata,22.375,-3.7,Species Pool,10,70,68,27.00,27.90,22.10,20.42,23.95,0.33,7.16,31.60,0,0.014556775
Arcidae,Anadara cepoides,22.375,1,Species Pool,10,84,90,29.80,27.95,22.10,20.42,22.84,0.33,7.16,28.80,0,0.014556775
Arcidae,Anadara concinna,22.375,-1.1,Species Pool,6,150,54,31.00,29.90,22.10,20.42,22.79,0.26,7.16,32.10,0,0.014556775
Arcidae,Anadara emarginata,24.1,-5.9,Species Pool,0,80,51,28.40,28.80,22.10,20.42,19.41,0.35,8.29,34.70,0,0.016161845
Arcidae,Anadara formosa,28.3,-5.1,Species Pool,10,100,121,28.97,27.95,25.75,20.42,18.35,0.42,8.38,34.07,1,0.418450925
Arcidae,Anadara mazatlanica,22.375,-4.1,Species Pool,7,220,87,27.05,27.95,22.10,20.42,23.38,0.33,8.40,32.05,0,0.014592081
Arcidae,Anadara nux,22.375,-5.2,Species Pool,4,73,24,27.05,23.20,22.10,20.42,19.30,0.33,8.40,32.25,0,0.015068749
Arcidae,Anadara obesa,22.9,-4.7,Species Pool,10,112,43,23.88,28.78,22.88,20.42,20.04,0.28,7.03,33.48,0,0.014922823
Arcidae,Anadara perlabiata,27.8,-4.7,Extralimital,0,82,50,28.40,27.93,22.10,20.42,17.78,0.44,8.97,33.10,1,0.479652997
Arcidae,Anadara reinharti,22.375,-3.5,Species Pool,2,91,68,28.97,31.33,26.62,20.42,21.84,0.33,8.38,34.83,0,0.014592081
Arcidae,Anadara similis,22.375,-3.6,Species Pool,0,0,66,NA,24.25,NA,20.42,24.51,0.33,8.47,27.85,0,0.014592081
Arcidae,Anadara tuberculosa,26.8,-5.1,Species Pool,0,20,97,28.97,28.80,24.17,20.42,19.55,0.46,16.19,34.07,0,0.060183486
Mactridae,Anatina cyprinus,22.375,-2.2,Species Pool,15,100,57,29.97,27.93,22.10,20.42,22.95,0.33,7.16,32.17,0,0.014556775
Lucinidae,Anodontia edentuloides,25.9,12.6,Species Pool,9,165,52,31.00,31.30,30.00,20.42,21.60,0.35,4.83,18.70,1,0.028195397
Cardiidae,Apiocardia obovalis,24.6,10.7,Species Pool,0,100,25,23.00,23.22,22.10,20.42,21.56,0.19,7.03,13.90,1,0.015095917
Arcidae,Arca mutabilis,27.8,-5.1,Species Pool,0,60,44,30.33,31.40,29.80,20.42,17.78,0.05,8.97,36.50,6,0.293677185
Arcidae,Arca pacifica,27.8,-5.1,Species Pool,0,137,128,31.03,31.40,22.88,20.42,17.78,0.41,8.97,36.50,3,0.695846443
Chamidae,Arcinella californica,28.3,-3.6,Species Pool,10,77,74,29.53,31.30,28.53,20.42,18.35,0.35,5.67,34.90,0,0.210942911
Thraciidae,Asthenothaerus villosior,28.3,9.4,Extralimital,0,73,10,31.33,31.40,22.87,20.42,18.35,0.28,4.83,22.00,0,0.154911334
Pinnidae,Atrina cumingii,22.375,-3.5,Species Pool,0,0,290,27.80,31.50,22.10,20.42,22.84,0.33,7.54,35.00,1,0.014940625
Pinnidae,Atrina maura,24.6,-6.9,Species Pool,0,4,175,31.50,31.40,30.50,20.42,18.46,0.41,7.52,38.40,0,0.157777496
Pinnidae,Atrina tuberculosa,27.8,7.1,Species Pool,0,0,290,31.13,27.93,25.78,20.42,17.78,0.32,8.97,24.03,2,0.090171862
Glycymerididae,Axinactis delessertii,24.6,-6.4,Species Pool,8,33,45,NA,NA,NA,NA,19.05,0.67,6.98,31.00,1,0.119000205
Glycymerididae,Axinactis inaequalis,22.375,-6.9,Species Pool,0,35,46,27.20,NA,22.10,NA,18.46,0.05,8.40,34.10,2,0.057188021
Arcidae,Barbatia lurida,22.375,-3.7,Species Pool,0,30,51,29.77,31.40,25.57,20.42,22.84,0.33,7.16,35.10,1,0.014889737
Arcidae,Barbatia reeveana,28.3,-5.1,Extralimital,0,110,95,29.80,31.33,23.03,20.42,18.35,0.05,6.92,36.43,7,1
Basterotiidae,Basterotia californica,28.3,19.2,Species Pool,0,100,13,29.80,31.40,23.37,27.95,18.35,0.41,4.83,12.20,0,0.389483037
Basterotiidae,Basterotia panamica,27.2,-2.2,Species Pool,0,119,11,29.80,31.40,22.88,30.35,18.67,0.41,16.66,33.60,1,0.522379142
Basterotiidae,Basterotina rectangularis,28.3,-1.6,Species Pool,9,119,11,30.33,27.97,23.37,26.97,18.35,0.26,7.07,31.93,1,0.125697768
Mytilidae,Botula cylista,22.375,-3.9,Species Pool,0,10,28,NA,23.20,NA,20.42,23.82,0.33,7.16,27.10,0,0.014556775
Mytilidae,Brachidontes semilaevis,28.3,-5.1,Species Pool,0,40,13,31.03,31.30,28.97,20.42,18.35,0.35,6.92,36.40,2,0.419600787
Arcidae,Calloarca alternata,22.375,-0.9,Species Pool,10,100,41,NA,31.40,NA,20.42,22.15,0.28,7.16,32.30,1,0.014889737
Cuspidariidae,Cardiomya costata,28.3,-2.2,Species Pool,4,84,11,29.83,31.40,28.83,20.62,18.35,0.41,4.83,33.60,2,0.443228159
Cuspidariidae,Cardiomya didyma,22.375,-2.5,Species Pool,6,180,10,31.20,31.30,28.53,20.42,23.24,0.33,7.16,33.80,0,0.014556775
Carditidae,Carditamera affinis,26.2,-5.1,Species Pool,0,90,100,31.02,31.30,22.88,20.42,19.67,0.35,6.92,36.40,1,0.072656031
Carditidae,Carditamera radiata,24.6,-4.7,Species Pool,0,24,56,NA,NA,NA,NA,20.04,0.67,6.98,29.30,0,0.091147278
Carditidae,Cardites crassicostatus,22.375,-3.6,Species Pool,0,55,68,29.80,31.40,24.17,20.42,22.84,0.33,7.16,35.00,1,0.014889737
Carditidae,Cardites grayi,22.375,7.7,Species Pool,0,23,47,23.88,23.23,22.10,20.42,25.67,0.22,7.16,16.18,2,0.013822306
Carditidae,Cardites laticostatus,24.6,-4.1,Species Pool,0,27,60,26.90,28.80,22.10,20.42,21.56,0.46,7.03,32.90,3,0.039917224
Corbulidae,Caryocorbula amethystina,22.375,-2.6,Species Pool,0,82,31,24.20,23.30,22.10,20.42,23.99,0.33,7.16,26.80,0,0.014556775
Corbulidae,Caryocorbula biradiata,27.8,-4.1,Species Pool,0,59,21,29.80,31.00,27.15,20.42,17.78,0.41,8.97,35.10,1,0.193391412
Corbulidae,Caryocorbula ira,22.375,-12,Species Pool,15,388,14,29.80,29.90,22.10,20.42,18.02,0.33,14.76,41.90,1,0.09950342
Corbulidae,Caryocorbula marmorata,24.6,-12.1,Species Pool,0,137,8,30.07,31.40,28.80,20.42,18.02,0.41,12.03,43.50,1,0.529707572
Corbulidae,Caryocorbula nasuta,27.9,-12.1,Species Pool,0,229,18,27.32,31.40,26.07,20.42,17.78,0.41,12.03,43.50,2,0.683557518
Corbulidae,Caryocorbula otra,22.375,-2.2,Species Pool,0,55,26,26.00,27.90,22.10,20.42,23.90,0.25,7.16,30.10,0,0.014556775
Lucinidae,Cavilinga lampra,22.375,6,Species Pool,0,70,25,31.00,31.50,22.10,20.42,23.25,0.05,7.16,25.50,1,0.014890402
Lucinidae,Cavilinga lingualis,28.3,-3.1,Species Pool,0,212,18,31.30,31.50,22.10,20.42,18.35,0.45,11.89,34.60,0,0.29189871
Chamidae,Chama buddiana,22.375,-0.9,Species Pool,0,90,125,31.13,31.40,26.02,20.42,22.15,0.28,7.16,32.30,1,0.014889737
Chamidae,Chama coralloides,24.6,-4.3,Species Pool,0,25,85,29.60,31.30,22.10,20.42,21.56,0.35,6.98,35.60,0,0.056982676
Chamidae,Chama echinata,28.3,-3.5,Extralimital,0,90,38,29.53,31.40,22.88,20.42,18.35,0.14,7.54,34.90,4,0.634391997
Chamidae,Chama frondosa,22.375,-1.6,Species Pool,0,35,90,31.02,31.30,22.88,20.42,23.24,0.05,7.16,32.90,2,0.013829473
Chamidae,Chama hicksi,22.375,3,Species Pool,12,75,90,29.00,29.00,16.00,0.00,21.52,0.33,8.38,29.00,0,0.014592081
Chamidae,Chama tinctoria,22.375,7.7,Species Pool,15,92,37,NA,NA,NA,NA,27.46,0.22,7.16,14.68,1,0.014889737
