Family,Genus,Species,Native Range,Invasive Range,Date,Vector,Niche Expansion,NEMESIS Invader,Notes,References
Glycymerididae,Tucetilla,adenensis,Indo-West Pacific,Mediterranean,1966,Lessepsian,No,No,,Galil 2007
Carditidae,Centrocardita,akabana,Indo-West Pacific,Mediterranean,2005,Shipping,Yes,No,,Ceviker and Albayrak 2006
Mytilidae,Semimytilus,algosus,Southern Eastern Pacific (Ecuador to Chile),Atlantic coast of Africa,1931,Shipping,Yes,No,,Bigatti 2014
Corbulidae,Potamocorbula,amurensis,Western Pacific,Eastern Pacific,1986,Shipping,No,Yes,,"Carlton et al 1990, http://www.psp.wa.gov/downloads/ANS/MISM_Online.pdf"
Laternulidae,Laternula gracilis,anatina,Indo-West Pacific,Mediterranean,1905,Lessepsian,No,Yes,referred to as just Laternula gracilis in NEMESIS,"Galil 2006, 2007"
Ostreidae,Crassostrea,angulata,Western Pacific,Eastern Atlantic,1550,Shipping,Yes,No,,Huvet et al 2000
Lucinidae,Divalinga,arabica,Indo-West Pacific,Mediterranean,1966,Lessepsian,Yes,No,,"Barash & Danin 1977, Galil 2007"
Hiatellidae,Hiatella,arctica,"Western Atlantic, Eastern Atlantic, Mediterranean",Hawaii,1920,Shipping,,No,,Carlton & Eldredge 2009
Myidae,Mya,arenaria,Western Atlantic; Eastern Atlantic; Western Pacific,Mediterranean; Eastern Pacific,1500,Multiple,Yes,Yes,,"Strasser 1991, Streftaris and Zenetos 2006"
Mytilidae,Leiosolenus (Myoforceps),aristatus,Western Atlantic,Southern Western Atlantic,2004,Shipping,No,No,,Simone & Goncalves 2006
Chamidae,Chama,asperella,Indo-West Pacific,Mediterranean,2002,Multiple,No,No,,"Ovalis and Zenetos 2007, Galil 2007"
Mytilidae,Modiolus,auriculatus,Indo-West Pacific,Mediterranean,1935,Lessepsian,No,No,,Galil 2007
Cardiidae,Fulvia,australis,Indo-West Pacific,Mediterranean,1948,Lessepsian,No,No,,Galil 2007
Neilonellidae,Neilo,australis,New Zealand,Tasmania,1965,Aquaculture Byproduct,No,No,,"Greenhill 1965, Australia Coastal Estuarine & Marine Report"
Ungulinidae,Diplodonta,bogii,Indo-West Pacific,Mediterranean,1982,Lessepsian,Yes,No,,Galil 2007
Chamidae,Chama,chinensis (includes C. brassica Reeve 1847),Indo-West Pacific,Mediterranean,2003,Shipping,No,No,,Galil 2007
Arcidae,Scapharca,broughtonii,Indo-West Pacific,Mediterranean,2002,Shipping,No,No,,"Ceviker and Albayrak 2002, Cinar et al 2005"
Mytilidae,Mytella,charruana,S. Western Atlantic,N. Western Atlantic,1986,Shipping,No,No,,Spinuzzi et al 2013
Ostreidae,Ostrea,chilensis,South America; New Zealand,Eastern Atlantic; Tasmania,1960,Aquaculture,Yes,No,,Morgan and Richardson 2012
Anomiidae,Anomia,chinensis,Indo-West Pacific,Eastern Pacific,1924,Aquaculture Byproduct,No,No,,Carlton 1994
Veneridae,Constellipitar,chordatum,Indo-West Pacific,Eastern Mediterranean,2014,Lessepsian,No,No,,Van Aarsten et al 2015
Veneridae,Gouldiopa (Microcirce),consternans,Indo-West Pacific,Eastern Mediterranean,2011,Lessepsian,Yes,No,,Van Aarsten et al 2015
Chamidae,Pseudochama,corbierei,Indo-West Pacific,Mediterranean,1946,Lessepsian,No,No,,Zenetos et al 2005
Myidae,Sphenia,coreanica,Western Pacific,Hawaii,1996,Shipping,No,No,,Coles et al 1999
Ostreidae,Dendostrea,crenulifera,Indo-West Pacific,Mediterranean,2005,Lessepsian,No,No,,"Mienis 2005, Galil 2007"
Ostreidae,Lopha,cristagalli,Indo-West Pacific,Hawaii,1971,Shipping,No,No,,Gregory 2009
Ostreidae,Saccostrea,cucullata,Indo-West Pacific,Mediterranean; Western Atlantic,1999,Shipping,No,No,,"CIESM, Cinar et al 2011"
Pharidae,Ensiculus,cultellus,Indo-West Pacific,Eastern Mediterranean,2008,Lessepsian,No,No,,Bogi & Galil 2009
Mactridae,Rangia,cuneata,Western Atlantic,Eastern Atlantic,1956,Shipping,Yes,No,,"Hopkins and Andrews 1970, Sousa et al 2009"
Gastrochaenidae,Gastrochaena,cymbium,Indo-West Pacific,Mediterranean,1954,Lessepsian,No,No,,Galil 2007
Veneridae,Venerupis (Ruditapes),decussata,Mediterranean,Gulf of Suez,1927,Anti-Lessepsian,Yes,No,,Parisi et al 2012
Mytilidae,Geukensia,demissa,N. Western Atlantic,Eastern Pacific; S. Western Atlantic,1850,Multiple,Yes,Yes,,"Torchin et al 2005, Sousa et al 2009"
Pharidae,Ensis,directus (=E. leei Huber 2015),Western Atlantic,Eastern Atlantic,1978,Shipping,Yes,No,,"Arias and Anadon 2012, http://www.europeaaliens.org/speciesTheWorst.do"
Veneridae,Timoclea,djiboutiensis,Indo-West Pacific,Mediterranean,1997,Lessepsian,No,No,,Galil 2007
Mytilidae,Mytilus,edulis,Arctic; Mediterranean; Western Atlantic; Eastern Atlantic; Western Pacific,Eastern Pacific,1980,Multiple,No,No,,Alexandrov and Berlinsky 2005
Ostreidae,Ostrea,edulis,Eastern Atlantic; Mediterranean,Eastern Pacific; Western Atlantic,1949,Aquaculture,Yes,No,,"Carlton 1992, Vercaemer et al 2006, http://massbay.mit.edu/resources/pdf/casestudies.pdf"
Isognomonidae,Isognomon,ephippium,Indo-West Pacific,Eastern Mediterranean,2004,Shipping,No,No,,Mienis 2004
Donacidae,Dosinia,erythraea,Indo-West Pacific,Mediterranean,1905,Lessepsian,Yes,No,,Tzomos et al 2012
Veneridae,Petricola,fabagella,Indo-West Pacific,Mediterranean,1900,Lessepsian,No,No,,"Ceviker & Albayrak 2006, Crocetta et al 2013"
Veneridae,Lioconcha,fastigiata,Indo-West Pacific,Hawaii,1985,Shipping,,No,,Carlton & Eldredge 2009
Chamidae,Chama,asperella (includes C. fibula Reeve 1847),Indo-West Pacific,Hawaii,1920,Shipping,No,No,,"Coles et al 1999, Ray 2005"
Tellinidae,Tellina,flacca,Indo-West Pacific,Mediterranean,1997,Lessepsian,No,No,,Galil 2007
Veneridae,Callista,florida,Indo-West Pacific,Mediterranean,1945,Multiple,No,No,,"Mienis 2005, Tzomos et al 2012"
Ostreidae,Dendostrea,folium,Indo-West Pacific,Mediterranean,2010,Lessepsian,No,No,,Crocetta et al 2013
Mytilidae,Septifer,forskali,Indo-West Pacific,Mediterranean,1999,Lessepsian,Yes,No,,Nawrot et al 2015
Cardiidae,Fulvia,fragilis,Indo-West Pacific; Eastern Atlantic,Mediterranean,1939,Multiple,No,No,,"Goud & Mifsud 2009, Crocetta et al. 2008"
Mytilidae,Mytilus,galloprovincialis,Western Atlantic; Mediterranean,Eastern Pacific; Indo-West Pacific,1940,Multiple,Yes,Yes,,https://www.cbd.int/invasive/doc/marine-menaceiucn-en.pdf
Veneridae,Gemma,gemma,Western Atlantic,Eastern Pacific,1893,Aquaculture Byproduct,Yes,Yes,,"Zhang et al 2014, Sousa et al 2009"
Corbulidae,Varicorbula,gibba,Eastern Atlantic; Mediterranean,Australia,1987,Shipping,No,No,,Bogi & Galil 2007
Ostreidae,Crassostrea,gigas,Western Pacific,Mediterranean; N. Eastern Pacific; S. Eastern Pacific; S. Western Atlantic; South Africa; Australia,1964,Aquaculture,Yes,Yes,referred to as its newer name Magallana gigas in NEMESIS,"Leffler & Greer 1991, Streftaris and Zenetos 2006"
Cardiidae,Cerastoderma,glaucum,Mediterranean,Red Sea,1905,Anti-Lessepsian,Yes,No,,"Barash & Danin 1987, Por 2012"
Ostreidae,Saccostrea,glomerata,Indo-West Pacific,Pacific Islands; Hawaii,1984,Aquaculture,No,No,,Ruesink et al 2005
Arcidae,Telligarca,granosa,Indo-West Pacific,Mediterranean,2006,Shipping,No,No,,Zenetos et al 2009
Spondylidae,Spondylus,groschi,Indo-West Pacific,Mediterranean,1998,Multiple,No,No,,Galil 2007
Chamidae,Chama,gryphoides,Eastern Atlantic; Mediterranean,Western Atlantic,1902,Anti-Lessepsian,Yes,No,,"Barash & Danin 1987, Por 2012"
